1 (0, 'elementary-set-theory\n')
840 (893, 'invariant-theory\n')
841 (894, 'hypergraphs\n')
842 (895, 'simplicial-complex\n')
843 (896, 'positive-semidefinite\n')
844 (897, 'hypercomplex-numbers\n')
845 (898, 'vieta-jumping\n')
846 (899, 'infinite-groups\n')
847 (900, 'bayesian\n')
848 (901, 'intersection-theory\n')
849 (902, 'cayley-table\n')
850 (903, 'balls-in-bins\n')
851 (904, 'quadrilateral\n')
852 (905, 'monotone-class-theorem\n')
853 (906, 'dirac-delta\n')
854 (907, 'lattices-in-lie-groups\n')
855 (908, 'lotteries\n')
856 (909, 'provability\n')
857 (910, 'tangent-line\n')
858 (911, 'sheaf-cohomology\n')
859 (912, 'error-propagation\n')
860 (913, 'continuous-homomorphisms\n')
861 (914, 'hypothesis-testing\n')
862 (915, 'inverse-semigroups\n')
